# chain	crosslink
1	8841
1	1105
2	9990
2	11886
3	10611
3	8360
4	2893
4	13976
5	11581
5	10671
6	15483
6	1223
7	1866
7	1613
8	3041
8	14584
9	13504
9	2524
10	6456
10	4771
11	1044
11	15145
12	11181
12	14061
13	14411
13	3345
14	441
14	10764
15	1568
15	9362
16	5713
16	5642
17	6686
17	5613
18	12028
18	1257
19	13271
19	7843
20	12861
20	8949
21	4355
21	14807
22	2207
22	2331
23	3923
23	4956
24	8938
24	14269
25	5140
25	633
26	2615
26	6906
27	3318
27	15337
28	9448
28	1666
29	10300
29	10876
30	7003
30	9226
31	14563
31	759
32	5530
32	14275
33	8314
33	9558
34	2062
34	13911
35	9315
35	13261
36	8729
36	8940
37	11559
37	7589
38	14216
38	14579
39	6178
39	14330
40	10102
40	14105
41	230
41	7575
42	13574
42	11081
43	13940
43	4727
44	10508
44	10508
45	13036
45	13472
46	13299
46	4466
47	9110
47	10508
48	15984
48	3271
49	2297
49	7455
50	9554
50	7236
51	867
51	3610
52	9044
52	11829
53	8500
53	8500
54	11831
54	13347
55	8489
56	10803
56	2117
57	7405
57	11834
58	2091
58	12368
59	13774
59	6399
60	4990
60	10565
61	11358
61	8123
62	5375
62	6597
63	8339
63	15810
64	13349
64	15810
65	15427
65	2545
66	12687
66	6781
67	14479
67	9670
68	5878
68	14552
69	5492
69	5492
70	6516
70	8003
71	2815
71	2062
72	15774
72	13300
73	8686
73	9569
74	14341
74	7194
75	3438
75	12592
76	15900
76	7647
77	11508
77	9573
78	13446
78	867
79	3252
79	11229
80	2034
80	9790
81	4780
81	6192
82	12443
82	13148
83	6549
83	8173
84	2262
84	8307
85	40
85	9756
86	8262
86	12491
87	10995
87	3348
88	15957
88	3341
89	15401
89	187
90	12391
90	11085
91	5146
91	754
92	13043
92	1086
93	8492
93	10565
94	925
94	11796
95	14461
95	10523
96	14214
96	4128
97	6422
97	14983
98	5770
98	8144
99	3850
99	2915
100	2755
100	6552
101	11401
101	12990
102	2855
102	7331
103	14738
103	15543
104	5909
104	3762
105	15712
105	11110
106	6345
106	12150
107	10764
107	3465
108	12913
108	12913
109	11019
109	13456
110	6260
110	5531
111	9869
111	4296
112	380
112	14231
113	13610
113	4590
114	14601
114	1364
115	3708
115	2713
116	708
116	7980
117	5116
117	4707
118	11157
118	6496
119	11380
119	3914
120	9073
120	5289
121	9462
121	14164
122	2457
122	301
123	10400
123	46
124	2688
124	5116
125	773
125	4990
126	2631
126	12058
127	14563
127	11381
128	10592
128	7503
129	2631
129	2393
130	11186
130	9716
131	4754
132	61
132	8144
133	8998
133	11468
134	3485
134	11663
135	11645
135	6824
136	4296
136	7034
137	8798
137	15444
138	7122
138	309
139	1520
139	5594
140	12320
140	6557
141	1308
141	10476
142	14199
142	5944
143	16057
143	9685
144	2572
144	8198
145	840
145	13095
146	2371
146	10693
147	13827
147	14525
148	9185
148	9185
149	7356
149	6363
150	5550
150	12149
151	8343
151	14653
152	14461
152	810
153	282
153	2530
154	13086
154	3498
155	13953
155	5379
156	9778
156	14341
157	8217
157	11137
158	12174
