xlinkID	neighborID	distance
1	1	0.000000
1	15235	359.656781
1	6513	843.470806
2	8400	622.765606
2	14625	636.828077
2	6453	567.065252
2	14614	447.556700
3	3072	603.609145
3	5043	726.980055
3	2006	546.440299
3	8318	630.404632
4	608	1139.577553
4	12987	1619.851845
4	4302	1286.476195
4	5895	747.244271
5	74	622.519879
5	621	514.529883
5	6182	22.045408
5	3959	259.430145
6	8384	369.254655
6	14834	460.026086
6	1372	883.540605
7	6608	266.300582
7	5883	248.010080
7	10756	626.799809
7	8373	624.488591
8	13593	362.911835
8	13515	610.331877
8	10486	572.906624
9	6992	812.630913
9	1929	247.058697
9	14397	275.134513
9	15383	4.690416
10	14859	259.426290
10	6373	612.070257
10	9710	570.314825
10	11063	349.552571
11	8194	365.964479
11	9307	363.762285
11	8510	1063.497062
11	1239	503.248448
12	13491	731.689825
12	4541	581.018072
12	3822	860.106970
12	4517	1171.889927
13	12500	430.276655
13	12413	367.949725
13	12758	260.509117
13	15463	370.413283
14	3354	767.208577
14	3707	619.419890
14	15524	1179.276473
14	13005	916.467675
15	11493	571.150593
15	5687	564.909727
15	11030	905.351313
15	6351	571.582015
16	10577	619.569205
16	2290	573.844055
16	7625	758.196544
16	3365	366.359113
17	2640	776.668526
17	2939	913.360279
17	1236	251.129449
17	12054	640.619232
18	12449	960.941726
18	15076	557.015260
18	15468	564.421828
18	14637	969.341013
19	9306	757.879278
19	8604	258.158866
19	7010	632.068034
20	6817	239.357473
20	6062	378.656837
20	13805	450.023333
20	13366	966.271701
21	10795	766.290415
21	13923	507.335195
21	1311	771.955310
22	5984	348.410677
22	12954	569.696410
22	7996	567.201023
22	10236	436.060776
23	9903	1197.590080
23	7268	360.980609
23	1053	586.753781
23	711	914.030087
24	11418	751.091206
24	12764	919.909235
24	4781	1086.565691
24	6414	623.549517
25	25	0.000000
25	149	445.108975
25	4950	374.918658
26	7121	608.073186
26	8147	577.495455
26	12109	253.554728
26	15533	253.144228
27	7649	458.114614
27	4972	585.404134
27	9157	555.945141
27	14023	543.874986
28	12125	581.044749
28	1284	621.016103
28	214	781.423061
28	5158	633.767307
29	4820	1136.944150
29	476	584.308994
29	29	0.000000
30	14265	784.674455
30	2522	348.868170
30	15603	801.561601
30	13523	611.556212
31	15592	466.001073
31	12515	446.013453
31	8476	743.236840
31	4542	961.077000
32	5282	956.984848
32	3435	961.372977
32	11413	358.581929
32	11118	249.785908
33	3395	370.890820
33	5275	759.314164
33	6876	362.127050
33	8397	720.642075
34	7817	443.212139
34	6442	436.361089
34	11803	889.833130
34	7075	571.465660
35	14083	868.450344
35	10547	243.337215
35	15524	867.445676
35	9616	519.232125
36	3184	351.032762
36	12697	773.699554
37	15928	755.068871
37	3809	360.984764
37	8066	642.232045
37	11392	431.447563
38	6324	580.182730
38	12194	7.141428
38	7244	841.684620
38	14186	343.425392
39	7587	1061.341133
39	3429	640.582547
39	39	0.000000
40	180	352.638625
40	9756	820.992083
40	4894	630.778091
41	9628	1064.879805
41	14772	630.567998
41	7740	575.663964
41	118	553.745429
42	9981	574.456265
42	4114	519.446821
42	2949	348.902565
42	8031	1063.447695
43	15201	850.049999
43	8051	574.334397
43	254	829.246646
43	13591	456.873068
44	7706	564.401453
44	1531	627.130768
44	15326	368.811605
44	8082	851.732352
45	15537	560.783381
45	10716	370.536098
45	12318	617.236583
46	10400	772.946311
46	15401	643.623337
46	7115	569.930698
46	14620	965.623633
47	2814	576.177924
47	4686	436.157082
47	5601	755.082777
47	13094	786.527813
48	48	0.000000
48	7083	584.743534
48	14141	777.085581
49	7809	557.331140
49	13658	1046.565335
49	5411	803.672819
49	11172	796.752157
50	4544	820.984775
50	15049	570.838856
50	15173	805.464462
50	14149	597.097982
51	6641	421.703687
51	779	613.512836
51	15124	256.797586
51	4909	444.663918
52	11051	570.455081
52	2977	555.944242
52	10603	938.181752
52	13703	577.903971
53	12538	571.105945
53	5156	961.701617
53	11710	640.202312
53	1775	792.506782
54	786	761.359967
54	5315	801.741230
54	3029	449.138063
54	4319	864.320542
55	11809	367.159366
55	15244	359.257568
55	9221	353.005666
55	11270	449.268294
56	9016	642.759675
56	250	584.655454
56	14462	446.459405
56	262	567.801021
57	3568	418.751716
57	2170	503.168958
57	1172	238.018907
57	1558	368.160291
58	15232	848.828016
58	7364	575.622272
58	1382	781.091544
59	10973	1403.916664
59	12146	581.186717
59	11872	1064.908447
59	9053	849.405086
60	14376	268.007463
60	4843	12.845233
60	1286	713.588817
60	14559	248.644324
61	8144	578.284532
61	14499	768.667679
61	8997	558.923072
