xlinkID	neighborID	xlink_x	xlink_y	xlink_z	neighbor_x	neighbor_y	neighbor_z	distance
0	15234	42.19986	106.75152	40.89035	41.80823	104.42159	31.23185	9.94327
0	0	42.19986	106.75152	40.89035	42.19986	106.75152	40.89035	0.00000
0	0	42.19986	106.75152	40.89035	42.19986	106.75152	40.89035	0.00000
0	6512	42.19986	106.75152	40.89035	42.58105	109.08060	50.56359	9.95698
1	14624	100.73678	237.40328	3.43542	100.24183	238.24897	249.82366	9.66157
1	14613	100.73678	237.40328	3.43542	100.50370	230.22645	9.18657	9.19983
1	6452	100.73678	237.40328	3.43542	101.46342	254.53914	20.09751	23.91215
1	8399	100.73678	237.40328	3.43542	100.74747	226.60464	246.63952	16.74353
2	3071	4.98792	201.80449	83.04256	251.43501	201.16056	72.92053	13.93299
2	8317	4.98792	201.80449	83.04256	4.34181	207.73205	89.45384	8.75545
2	2005	4.98792	201.80449	83.04256	19.23604	186.80620	82.45666	20.69543
2	5042	4.98792	201.80449	83.04256	0.93536	211.53390	87.33240	11.37925
3	607	166.30106	170.19434	209.19015	175.20514	171.95408	204.62031	10.16183
3	12986	166.30106	170.19434	209.19015	161.32933	182.61529	210.42998	13.43634
3	4301	166.30106	170.19434	209.19015	174.34413	164.15681	202.20652	12.24393
3	5894	166.30106	170.19434	209.19015	154.33360	162.05201	219.50359	17.77315
4	73	209.16005	207.06765	159.74806	205.42893	222.83175	153.80635	17.25491
4	620	209.16005	207.06765	159.74806	193.00028	217.07240	161.76966	19.11334
4	3958	209.16005	207.06765	159.74806	216.78877	187.06177	159.26394	21.41652
4	6181	209.16005	207.06765	159.74806	221.42270	201.31429	164.14504	14.24104
5	8383	38.81055	206.42534	44.43683	40.24220	216.42418	51.19607	12.15376
5	1371	38.81055	206.42534	44.43683	33.22261	206.66214	41.24232	6.44096
5	14833	38.81055	206.42534	44.43683	42.96621	196.19540	40.87243	11.60284
6	8372	82.41229	140.71063	201.75353	81.92799	148.02299	201.92524	7.33039
6	5882	82.41229	140.71063	201.75353	82.16503	142.03315	197.89988	4.08177
6	6607	82.41229	140.71063	201.75353	77.14427	128.38108	213.14313	17.59241
6	10755	82.41229	140.71063	201.75353	88.41142	144.40730	194.05125	10.43935
7	13514	17.38391	31.05551	9.06817	20.23063	34.37678	9.52981	4.39860
7	13514	17.38391	31.05551	9.06817	20.23063	34.37678	9.52981	4.39860
7	10485	17.38391	31.05551	9.06817	15.30977	32.51245	13.42485	5.04038
7	13592	17.38391	31.05551	9.06817	13.76424	22.95525	3.79197	10.32252
8	15382	30.14815	110.95286	25.31551	16.92709	112.22824	25.22430	13.28275
8	14396	30.14815	110.95286	25.31551	43.71186	102.81770	26.05447	15.83355
8	6991	30.14815	110.95286	25.31551	41.80331	111.88803	37.97011	17.22951
8	1928	30.14815	110.95286	25.31551	18.14792	116.87692	12.01769	18.86616
9	9709	250.25052	207.74611	99.12987	250.25452	207.72893	99.14064	0.02067
9	11062	250.25052	207.74611	99.12987	1.63155	198.66779	90.28439	14.66758
9	14858	250.25052	207.74611	99.12987	235.59855	202.52501	99.70108	15.56491
9	6372	250.25052	207.74611	99.12987	1.51566	222.07044	107.38880	18.06042
10	1238	186.79949	3.78051	192.31814	180.73846	251.13454	194.53504	10.78905
10	8193	186.79949	3.78051	192.31814	179.71132	10.55169	191.43883	9.84195
10	8509	186.79949	3.78051	192.31814	194.65301	255.37400	186.67679	10.62638
10	9306	186.79949	3.78051	192.31814	192.09767	10.06090	196.62077	9.27505
11	4540	233.79563	17.36959	27.20739	233.38392	24.49607	23.90377	7.86576
11	13490	233.79563	17.36959	27.20739	229.45430	23.03238	22.02460	8.81905
11	3821	233.79563	17.36959	27.20739	240.35377	30.07433	28.33137	14.34165
11	4516	233.79563	17.36959	27.20739	231.99142	247.87530	34.57007	26.59742
12	12412	217.88183	81.42680	128.71738	228.88976	81.45613	126.68224	11.19451
12	12499	217.88183	81.42680	128.71738	204.61503	66.50597	136.37037	21.38241
12	12757	217.88183	81.42680	128.71738	224.74566	84.34822	126.82113	7.69692
12	15462	217.88183	81.42680	128.71738	213.27066	93.39096	124.99095	13.35254
13	3706	240.98884	5.22528	252.48536	241.83542	9.51574	248.63522	5.82652
13	15523	240.98884	5.22528	252.48536	235.11479	4.95258	0.56555	7.15729
13	3353	240.98884	5.22528	252.48536	238.88119	7.61041	3.90343	8.07209
13	13004	240.98884	5.22528	252.48536	248.12801	254.82499	244.84118	12.26234
14	6350	57.10605	15.07022	210.53578	47.14026	6.23542	206.98491	13.78330
14	11029	57.10605	15.07022	210.53578	71.00731	22.34373	216.71478	16.86206
14	5686	57.10605	15.07022	210.53578	62.36895	28.83436	203.32819	16.40424
14	11492	57.10605	15.07022	210.53578	47.90786	2.86710	215.11760	15.95355
15	3364	69.90633	141.39704	64.20222	65.37623	142.17785	66.19095	5.00865
15	2289	69.90633	141.39704	64.20222	59.72505	139.26054	77.16236	16.61892
15	10576	69.90633	141.39704	64.20222	73.34564	143.13159	61.11464	4.93666
15	7624	69.90633	141.39704	64.20222	81.17163	141.02531	52.34591	16.35901
16	12053	233.98885	241.34340	113.54944	226.49373	233.36821	123.06643	14.50357
16	1235	233.98885	241.34340	113.54944	238.24032	243.19195	100.11830	14.20872
16	2938	233.98885	241.34340	113.54944	243.83019	240.73596	116.78386	10.37701
16	2639	233.98885	241.34340	113.54944	227.38902	248.08537	114.21858	9.45830
17	12448	29.15136	168.90087	158.30831	36.85895	175.90776	165.52449	12.67188
17	14636	29.15136	168.90087	158.30831	15.25224	169.29641	160.74752	14.11707
17	15467	29.15136	168.90087	158.30831	31.36796	172.92671	148.10197	11.19330
17	15075	29.15136	168.90087	158.30831	33.12464	157.47652	158.85833	12.10806
