xlink_x	xlink_y	xlink_z
42.1999	106.7515	40.8903
100.7368	237.4033	3.4354
4.9879	201.8045	83.0426
166.3011	170.1943	209.1901
209.1600	207.0677	159.7481
38.8105	206.4253	44.4368
82.4123	140.7106	201.7535
17.3839	31.0555	9.0682
30.1482	110.9529	25.3155
250.2505	207.7461	99.1299
186.7995	3.7805	192.3181
233.7956	17.3696	27.2074
217.8818	81.4268	128.7174
240.9888	5.2253	252.4854
57.1060	15.0702	210.5358
69.9063	141.3970	64.2022
233.9888	241.3434	113.5494
29.1514	168.9009	158.3083
221.6728	142.0513	82.2439
246.0844	70.7684	51.6576
193.6106	136.4517	92.8234
150.3932	178.5677	80.0049
83.9201	201.1818	59.3710
3.1205	68.5890	241.2412
21.4542	53.1490	81.5439
14.7816	170.0381	135.5783
247.5811	213.5939	120.4043
93.0506	174.7704	119.9963
146.0755	212.4491	68.9033
87.7767	26.3342	18.4666
26.3370	250.2612	93.1790
181.0857	254.7992	152.7739
28.7666	126.9637	84.6574
222.3602	214.2752	175.1918
244.0320	0.2658	254.8798
227.4863	137.5890	110.0943
123.4014	41.3388	157.6547
17.4680	76.4742	85.5692
72.1351	233.8710	231.6594
157.1431	14.3495	25.5569
107.3128	10.4967	83.2639
106.9455	76.0946	33.5593
28.6861	106.6507	242.2548
165.2854	162.8510	182.3120
157.9459	226.5811	99.1370
210.9883	42.3593	38.7510
6.7436	50.4850	26.5817
23.2446	203.7828	75.8520
207.2528	131.8098	69.9263
205.5316	192.5908	92.0271
170.8410	9.9390	96.5044
116.2852	153.9657	119.9834
154.5721	208.1083	252.6748
31.7429	243.5926	110.9823
206.1073	174.3606	245.1552
79.0753	79.9878	14.1107
123.4282	48.3557	2.6825
138.7143	172.3510	165.1195
251.4264	84.2338	241.2906
181.3059	218.1276	101.5142
5.7909	63.7889	10.3862
8.7810	188.4587	117.1066
177.2111	87.3404	186.2252
231.8129	80.7621	255.4267
152.5624	121.1140	91.8144
232.2504	195.6121	214.2904
31.8404	241.5324	220.0688
2.6459	64.2388	21.4636
91.4587	183.2636	18.9176
117.6069	170.8169	12.9983
78.6127	66.0071	216.7080
23.0431	200.8077	151.0480
184.5522	131.5889	57.0029
205.4289	222.8317	153.8063
118.6151	159.2240	243.0685
118.4257	97.7088	68.5482
157.2466	3.9501	188.6635
13.0783	155.9050	160.8982
89.3438	191.7193	131.6309
162.2136	149.0043	127.1605
147.4484	140.2698	154.4430
230.8731	84.2372	11.0369
182.6436	170.6500	186.3787
108.2024	101.5914	190.0927
39.3654	104.3627	222.9825
37.1353	218.4505	140.3959
88.9205	154.2753	197.1398
70.9535	113.7529	203.5501
109.7679	9.4566	201.7255
220.5313	231.9826	64.8121
