xlinkID	xlink_1	xlink_2	xlink_3
1	17312	20793	35040
2	8606	47776	0
3	14627	15835	17129
4	4082	56401	77199
5	5	33901	0
6	8947	54118	66032
7	5960	79090	79831
8	22972	56790	59082
9	45876	47805	0
10	15585	70341	80087
11	845	50724	77542
12	2896	55613	56201
13	32017	33694	62951
14	14	9556	0
15	3671	30223	36501
16	52539	53563	54015
17	6741	7075	66597
18	39136	64318	76986
19	1097	21611	23871
20	40629	43078	60282
21	853	3450	20673
22	2493	65112	67184
23	4520	25168	30277
24	47413	62288	72350
25	7116	34415	71928
26	7793	77511	78125
27	35539	46413	67632
28	20343	24209	66665
29	44256	76596	76668
30	4669	26645	43607
31	34707	42664	45935
32	8241	12318	20916
33	12135	67239	71196
34	5456	37799	0
35	39807	61344	77244
36	55740	66106	74023
37	12939	38361	39874
38	5512	39410	66230
39	9586	31463	46804
40	4399	5320	58415
41	22572	33892	39714
42	9938	65941	71895
43	10300	21503	39361
44	38881	52017	0
45	45	3100	0
46	15353	59736	0
47	29058	51751	57473
48	15575	43755	50493
49	64605	65152	74639
50	12391	23095	59084
51	2125	61253	73896
52	23619	58079	60307
53	13255	53929	75392
54	27644	37013	40825
55	2154	11584	69359
56	21608	34441	49165
57	3830	27936	43868
58	28064	54968	63369
59	14872	15971	0
60	30980	49155	52306
61	10397	50053	80292
62	62	55760	0
63	27221	34351	76618
64	51029	54601	79229
65	36299	57376	71004
66	21215	52957	57742
67	5201	75737	0
68	24586	25452	74419
69	23498	44287	80341
70	2459	26336	39790
71	9814	47018	63109
72	3302	11151	76976
73	10274	51414	71206
74	6411	27254	64492
75	75	719	0
76	1475	3131	25055
77	14762	51341	0
78	18113	50644	60527
79	45291	50265	78490
80	37059	43526	49942
81	919	4198	49444
82	11203	60996	75081
83	7736	23527	24402
84	51427	64075	73650
85	28801	78674	79130
86	54770	69129	0
87	1799	4242	43197
88	5745	34763	63183
89	28706	31391	36131
90	4859	30243	32652
91	35198	52038	0
92	75623	77108	80412
93	12470	23159	69766
94	25340	35455	59332
95	10075	27659	55866
