xlinkA	xlinkB	n_strands
1	17312	1
1	20793	1
1	35040	1
2	8606	1
2	47776	1
3	14627	1
3	15835	1
3	17129	1
4	4082	1
4	56401	1
4	77199	1
5	5	1
5	33901	1
6	8947	1
6	54118	1
6	66032	1
7	5960	1
7	79090	1
7	79831	1
8	22972	1
8	56790	1
8	59082	1
9	45876	1
9	47805	1
10	15585	1
10	70341	1
10	80087	1
11	845	1
11	50724	1
11	77542	1
12	2896	1
12	55613	1
12	56201	1
13	32017	1
13	33694	1
13	62951	1
14	14	1
14	9556	1
15	3671	1
15	30223	1
15	36501	1
16	52539	1
16	53563	1
16	54015	1
17	6741	1
17	7075	1
17	66597	1
18	39136	1
18	64318	1
18	76986	1
19	1097	1
19	21611	1
19	23871	1
20	40629	1
20	43078	1
20	60282	1
21	853	1
21	3450	1
21	20673	1
22	2493	1
22	65112	1
22	67184	1
23	4520	1
23	25168	1
23	30277	1
24	47413	1
24	62288	1
24	72350	1
25	7116	1
25	34415	1
25	71928	1
26	7793	1
26	77511	1
26	78125	1
27	35539	1
27	46413	1
27	67632	1
28	20343	1
28	24209	1
28	66665	1
29	44256	1
29	76596	1
29	76668	1
30	4669	1
30	26645	1
30	43607	1
31	34707	1
31	42664	1
31	45935	1
32	8241	1
32	12318	1
32	20916	1
33	12135	1
33	67239	1
33	71196	1
34	5456	1
34	37799	2
35	39807	1
35	61344	1
35	77244	1
36	55740	1
36	66106	1
36	74023	1
37	12939	1
37	38361	1
37	39874	1
38	5512	1
38	39410	1
38	66230	1
39	9586	1
39	31463	1
39	46804	1
40	4399	1
40	5320	1
40	58415	1
41	22572	1
41	33892	1
41	39714	1
42	9938	1
42	65941	1
42	71895	1
43	10300	1
43	21503	1
43	39361	1
44	38881	1
44	52017	2
45	45	1
45	3100	1
46	15353	2
46	59736	1
47	29058	1
47	51751	1
47	57473	1
48	15575	1
48	43755	1
48	50493	1
49	64605	1
49	65152	1
49	74639	1
50	12391	1
50	23095	1
50	59084	1
51	2125	1
51	61253	1
51	73896	1
52	23619	1
52	58079	1
52	60307	1
53	13255	1
53	53929	1
53	75392	1
54	27644	1
54	37013	1
54	40825	1
55	2154	1
55	11584	1
55	69359	1
56	21608	1
56	34441	1
56	49165	1
57	3830	1
57	27936	1
57	43868	1
58	28064	1
58	54968	1
58	63369	1
59	14872	1
59	15971	2
60	30980	1
60	49155	1
60	52306	1
61	10397	1
61	50053	1
61	80292	1
62	62	1
62	55760	1
63	27221	1
63	34351	1
63	76618	1
64	51029	1
64	54601	1
64	79229	1
65	36299	1
65	57376	1
65	71004	1
66	21215	1
66	52957	1
66	57742	1
67	5201	1
67	75737	1
68	24586	1
68	25452	1
68	74419	1
69	23498	1
69	44287	1
69	80341	1
70	2459	1
70	26336	1
70	39790	1
71	9814	1
71	47018	1
71	63109	1
72	3302	1
72	11151	1
72	76976	1
73	10274	1
73	51414	1
73	71206	1
74	6411	1
74	27254	1
74	64492	1
75	75	1
75	719	1
76	1475	1
76	3131	1
76	25055	1
77	14762	1
77	51341	1
78	18113	1
78	50644	1
78	60527	1
79	45291	1
79	50265	1
79	78490	1
80	37059	1
80	43526	1
80	49942	1
81	919	1
81	4198	1
81	49444	1
82	11203	1
82	60996	1
82	75081	1
83	7736	1
83	23527	1
83	24402	1
84	51427	1
84	64075	1
84	73650	1
85	28801	1
85	78674	1
85	79130	1
86	54770	1
86	69129	1
87	1799	1
87	4242	1
87	43197	1
88	5745	1
88	34763	1
88	63183	1
89	28706	1
89	31391	1
89	36131	1
90	4859	1
90	30243	1
90	32652	1
91	35198	1
91	52038	1
92	75623	1
92	77108	1
92	80412	1
93	12470	1
93	23159	1
93	69766	1
94	25340	1
94	35455	1
94	59332	1
95	10075	1
95	27659	1
95	55866	1
96	814	1
96	12095	1
96	28372	1
97	97	1
97	39828	1
98	6022	1
98	22812	1
98	42803	1
99	25125	1
99	27158	1
99	76402	1
100	1757	1
100	27768	1
100	51739	1
101	18554	1
101	26915	1
101	71647	1
102	4475	1
102	49269	1
102	77421	1
103	55528	1
103	61268	2
104	70453	1
104	71593	1
104	78176	1
105	5965	1
105	38569	1
105	58793	1
106	25900	1
106	49911	1
106	77227	1
107	49100	1
107	61260	2
108	31650	1
108	49792	1
108	61558	1
109	109	1
109	63835	1
110	110	1
110	17020	1
111	30936	1
111	66035	1
111	75938	1
112	50960	1
112	64948	1
112	79370	1
113	22739	1
113	69479	1
113	70874	1
114	37588	1
114	58021	1
114	58599	1
115	17372	1
115	51696	1
115	65106	1
116	9581	1
116	28529	1
116	72421	1
117	5664	1
117	40661	1
117	76510	1
118	17199	1
118	21605	1
118	52636	1
119	7756	1
119	21521	1
119	54908	1
120	35653	1
120	41176	1
120	42313	1
121	9857	1
121	34008	1
121	75190	1
122	6880	1
122	9964	1
122	39211	1
123	50148	1
123	56551	1
123	70856	1
124	12426	1
125	9398	1
125	73700	1
125	75909	1
126	10591	1
126	11991	1
126	28152	1
127	127	1
127	17318	1
128	21046	1
128	50386	1
128	53574	1
129	21416	1
129	44463	1
129	45265	1
130	33575	2
130	41904	1
131	1662	1
131	39817	1
131	80057	1
132	2723	1
132	63201	1
133	3417	1
133	35604	1
133	56957	1
134	23002	1
134	45376	1
134	64974	1
135	13692	1
135	77377	1
135	79058	1
136	136	1
136	78504	1
137	58737	1
137	73701	1
137	80184	1
138	138	1
138	7411	1
139	33053	1
139	50028	2
140	17982	1
140	35574	1
141	20023	1
141	32198	1
141	70815	1
142	4302	1
142	32955	1
142	79378	1
143	32889	1
143	62126	1
143	79003	1
144	21635	1
144	22519	1
144	46984	1
145	3925	1
145	30884	1
145	55419	1
146	23547	1
146	32831	1
146	66144	1
147	29540	1
147	77738	2
148	33553	1
148	59137	1
148	67509	1
149	36898	1
149	50767	1
149	52218	1
150	150	1
150	73451	1
151	32258	1
151	62134	1
151	80371	1
152	25024	1
152	55276	1
152	80329	1
153	24690	1
153	38227	1
153	73047	1
154	18717	1
154	25358	1
154	72940	1
155	5314	1
155	27986	1
155	64567	1
156	14531	1
156	35026	1
156	41493	1
157	33907	1
157	43553	1
157	55810	1
158	5608	1
158	15081	1
158	72524	1
159	22291	1
159	39460	1
159	78764	1
160	19727	1
160	42273	1
160	46700	1
161	34750	1
161	49632	1
161	79784	1
162	10716	1
162	32613	1
162	42300	1
163	4827	1
163	23833	1
163	33433	1
164	164	1
164	49951	1
165	12351	1
165	27201	1
165	77294	1
166	7602	1
166	26490	1
166	39488	1
167	50691	1
167	71097	1
167	75389	1
168	7370	1
168	9971	1
168	15862	1
169	169	1
169	44066	1
170	25173	1
170	31208	1
170	37311	1
171	24285	1
171	79403	1
172	11638	1
172	25255	1
172	64394	1
173	18683	1
173	41428	1
173	68519	1
174	44031	1
174	75235	1
174	76803	1
175	35593	1
175	60859	1
175	65234	1
176	54685	1
176	61648	1
176	78969	1
177	42421	1
177	58052	1
177	74813	1
178	20532	1
178	42308	1
178	79998	1
179	69837	1
179	78434	2
180	17644	1
180	29345	1
180	73070	1
181	2470	1
181	24176	1
181	46750	1
182	182	1
182	11728	1
183	1942	1
183	5797	1
183	36513	1
184	21208	1
184	47866	1
184	49791	1
185	185	1
185	71092	1
186	186	1
186	70434	1
187	27766	1
187	56486	1
187	60999	1
188	11226	1
188	25294	1
188	55742	1
189	8389	1
189	9712	1
189	67399	1
190	695	1
190	73691	1
190	78406	1
191	14292	1
191	67898	1
191	72080	1
192	25692	1
192	51089	1
193	193	1
193	77341	1
194	36547	1
194	67850	1
194	72346	1
195	211	1
195	40511	1
195	78436	1
196	21396	1
196	25279	1
196	68894	1
197	64188	1
197	73402	1
197	77800	1
198	28540	1
198	30809	1
198	72559	1
199	31980	1
199	76180	1
200	32834	1
200	57686	1
200	74134	1
201	18105	1
201	67549	1
201	69089	1
202	8402	1
202	22820	1
202	53319	1
203	56759	1
203	62418	1
203	70575	1
204	30760	1
204	48463	1
204	76315	1
205	57918	1
205	65528	1
205	71867	1
206	1209	1
206	61747	1
206	73481	1
207	347	1
207	39038	1
207	41281	1
208	23973	1
208	49352	1
208	52417	1
209	12341	1
209	29896	1
209	38513	1
210	39791	1
210	41049	1
210	64281	1
211	25608	1
211	38742	1
212	16407	1
212	30062	1
212	56022	1
213	17536	1
213	27915	2
214	15384	1
214	24244	1
214	57709	1
215	7593	1
215	52125	1
215	66051	1
216	9031	1
216	35388	1
216	52789	1
217	11057	1
217	33650	1
217	51267	1
218	26089	1
218	40874	1
218	57436	1
219	80309	1
220	18488	1
220	21830	1
220	41213	1
221	675	1
221	14426	1
221	78192	1
222	6461	1
222	61418	1
222	74710	1
223	14206	1
223	63790	1
223	73130	1
224	20526	1
224	64179	1
224	78125	1
225	43488	1
225	64606	1
225	75286	1
226	17930	1
226	25649	1
226	66028	1
227	4463	1
227	77114	1
227	77855	1
228	10223	1
228	32302	1
228	63593	1
229	4532	1
229	53850	1
229	55406	1
230	23149	1
230	49838	1
230	53721	1
231	20996	1
231	46906	1
231	53216	1
232	36626	1
232	46609	1
232	62877	1
233	30496	1
233	64474	1
233	79952	1
234	11937	1
234	14503	1
234	43558	1
235	40654	1
235	42998	1
235	50663	1
236	12186	1
236	48165	1
236	73552	1
237	13479	1
237	18597	1
237	58007	1
238	35813	1
238	37172	1
238	75223	1
239	28595	1
239	37623	1
239	61800	1
240	240	1
240	57043	1
241	3783	1
241	26719	1
241	59275	1
242	57855	1
242	62906	1
242	70631	1
243	18815	1
243	61578	1
244	244	1
244	8358	1
245	14180	1
245	33389	1
245	61817	1
246	322	1
246	60937	1
246	70943	1
247	30115	1
247	44689	1
247	64026	1
248	7445	1
248	48038	1
248	52895	1
249	249	1
249	59201	1
250	12824	1
250	28798	1
250	32391	1
251	47085	2
252	252	1
252	8180	1
253	36531	1
253	40961	1
253	59420	1
254	25016	1
254	51945	1
254	67505	1
255	4160	1
255	64920	1
256	15508	1
256	51816	1
256	67780	1
257	4620	1
257	19050	1
257	59660	1
258	915	1
258	17096	1
259	37835	1
259	38219	1
259	71872	1
260	71576	1
260	72673	1
260	75482	1
261	7356	1
261	50499	1
261	58122	1
262	15796	1
262	25596	1
262	51907	1
263	14869	1
263	68378	1
263	71344	1
264	1155	1
264	1441	1
264	32425	1
265	43658	1
265	69732	1
