step lambda cumulative_broken remaining
1 1.030000 13 29955
2 1.060000 13 29955
3 1.090000 13 29955
4 1.120000 13 29955
5 1.150000 14 29954
6 1.180000 14 29954
7 1.210000 14 29954
8 1.240000 14 29954
9 1.270000 15 29953
10 1.300000 15 29953
11 1.330000 15 29953
12 1.360000 15 29953
13 1.390000 15 29953
14 1.420000 15 29953
15 1.450000 15 29953
16 1.480000 15 29953
17 1.510000 15 29953
18 1.540000 15 29953
19 1.570000 15 29953
20 1.600000 15 29953
21 1.630000 15 29953
22 1.660000 15 29953
23 1.690000 15 29953
24 1.720000 15 29953
25 1.750000 15 29953
26 1.780000 16 29952
27 1.810000 16 29952
28 1.840000 16 29952
29 1.870000 16 29952
30 1.900000 16 29952
31 1.930000 16 29952
32 1.960000 16 29952
33 1.990000 16 29952
34 2.020000 16 29952
35 2.050000 16 29952
36 2.080000 17 29951
37 2.110000 17 29951
38 2.140000 17 29951
39 2.170000 17 29951
40 2.200000 18 29950
41 2.230000 18 29950
42 2.260000 18 29950
43 2.290000 18 29950
44 2.320000 18 29950
45 2.350000 19 29949
46 2.380000 19 29949
47 2.410000 19 29949
48 2.440000 19 29949
49 2.470000 19 29949
50 2.500000 19 29949
51 2.530000 19 29949
52 2.560000 19 29949
53 2.590000 19 29949
54 2.620000 19 29949
55 2.650000 19 29949
56 2.680000 19 29949
57 2.710000 23 29945
58 2.740000 23 29945
59 2.770000 25 29943
60 2.800000 25 29943
61 2.830000 25 29943
62 2.860000 26 29942
63 2.890000 27 29941
64 2.920000 28 29940
65 2.950000 30 29938
66 2.980000 31 29937
67 3.010000 31 29937
68 3.040000 33 29935
69 3.070000 34 29934
70 3.100000 35 29933
71 3.130000 36 29932
72 3.160000 36 29932
73 3.190000 37 29931
74 3.220000 38 29930
75 3.250000 41 29927
76 3.280000 45 29923
77 3.310000 46 29922
78 3.340000 49 29919
79 3.370000 53 29915
80 3.400000 55 29913
81 3.430000 63 29905
82 3.460000 69 29899
83 3.490000 72 29896
84 3.520000 76 29892
85 3.550000 80 29888
86 3.580000 85 29883
87 3.610000 86 29882
88 3.640000 93 29875
89 3.670000 104 29864
90 3.700000 114 29854
91 3.730000 116 29852
92 3.760000 124 29844
93 3.790000 131 29837
94 3.820000 148 29820
95 3.850000 154 29814
96 3.880000 162 29806
97 3.910000 176 29792
98 3.940000 210 29758
99 3.970000 1347 28621
