Lambda	Stress
1.000000	0.000000
1.070000	0.000817
1.140000	0.001704
1.210000	0.002577
1.280000	0.003464
1.350000	0.004460
1.420000	0.005315
1.490000	0.006112
1.560000	0.006699
1.630000	0.007408
1.700000	0.008213
1.770000	0.008899
1.840000	0.008909
1.910000	0.009314
1.980000	0.009808
2.050000	0.010212
2.120000	0.010412
2.190000	0.010496
2.260000	0.010971
2.330000	0.011395
2.400000	0.011516
2.470000	0.011894
2.540000	0.011912
2.610000	0.012088
2.680000	0.012460
2.750000	0.012418
2.820000	0.012130
2.890000	0.012205
2.960000	0.012643
3.030000	0.013100
3.100000	0.013264
3.170000	0.013624
3.240000	0.014023
3.310000	0.014047
3.380000	0.014487
3.450000	0.014188
3.520000	0.014536
3.590000	0.014385
3.660000	0.014836
3.730000	0.015382
3.800000	0.015336
3.870000	0.015693
3.940000	0.015453
4.010000	0.015698
4.080000	0.015823
4.150000	0.015666
4.220000	0.016143
4.290000	0.016530
4.360000	0.016913
4.430000	0.016774
4.500000	0.017246
4.570000	0.017414
4.640000	0.017651
4.710000	0.017127
4.780000	0.017017
4.850000	0.017005
4.920000	0.016630
4.990000	0.017129
5.060000	0.016806
5.130000	0.017177
5.200000	0.016708
5.270000	0.017058
5.340000	0.016924
5.410000	0.016405
5.480000	0.016607
5.550000	0.016534
5.620000	0.016714
5.690000	0.016502
5.760000	0.016792
5.830000	0.017080
5.900000	0.017099
5.970000	0.017520
6.040000	0.017803
6.110000	0.017801
6.180000	0.018082
6.250000	0.018064
6.320000	0.017906
6.390000	0.018022
6.460000	0.018284
6.530000	0.018395
6.600000	0.018802
6.670000	0.018600
6.740000	0.018855
6.810000	0.018636
6.880000	0.018543
6.950000	0.018931
7.020000	0.019323
7.090000	0.019719
7.160000	0.019953
7.230000	0.020353
7.300000	0.020426
7.370000	0.020666
7.440000	0.020735
7.510000	0.020788
7.580000	0.021184
7.650000	0.020703
7.720000	0.021091
7.790000	0.021303
7.860000	0.021694
7.930000	0.021728
8.000000	0.021754
