xlinkID	connected_1	connected_2	connected_3	connected_4
8841	6840	1105	1866	1639
1105	3896	8841	15883	3449
9990	8873	7618	5739	11886
11886	15128	10673	15813	9990
10611	8360	13641	8514	15230
8360	10611	92	5892	15894
2893	13976	10932	15613	6454
13976	13976	15578	2893	nan
11581	869	11581	10671	nan
10671	7753	771	8789	11581
15483	13777	4836	9254	1223
1223	13777	15483	6350	9598
1866	8536	8841	1613	5358
1613	1866	14411	2518	6047
3041	14584	14628	6405	1878
14584	7840	3041	10778	11518
13504	7864	5474	5355	2524
2524	13504	11601	10579	1671
6456	4771	12429	6053	nan
4771	6456	3610	3805	4765
1044	15472	15145	6207	12815
15145	2288	8892	1044	1930
11181	9032	10816	14061	2519
14061	11113	5908	11181	2447
14411	11768	3345	2369	1613
3345	11768	11979	14411	12086
441	4786	8178	10764	9554
10764	2641	441	3465	4170
1568	15434	9362	12165	1702
9362	1568	10437	12909	3007
5713	1328	5642	7520	184
5642	5713	12634	3427	13446
6686	1328	1266	5613	6703
5613	11745	4908	6686	nan
12028	14288	1257	8226	1352
1257	12028	1181	12421	13455
13271	14914	7843	203	15615
7843	7800	3427	11260	13271
12861	10445	5653	4739	8949
8949	12244	12861	4135	nan
4355	12719	7922	9987	14807
14807	12770	4355	10525	nan
2207	3632	2331	1789	16022
2331	248	1948	10509	2207
3923	13212	4956	12294	9207
4956	15689	3923	15252	6214
8938	7033	14269	10167	nan
14269	9785	8938	13719	nan
5140	633	7682	11867	7820
633	1770	4827	5140	11020
2615	6906	9987	1181	14255
6906	4173	8877	7918	2615
3318	10318	15337	665	4750
15337	11433	12421	3318	12137
9448	3704	2929	1666	9174
1666	9448	5786	4251	10717
10300	4596	10876	3181	nan
10876	8832	10300	3822	nan
7003	7936	9226	3763	10598
9226	14134	7003	12726	14694
14563	12418	11381	2469	759
759	449	14563	182	11219
5530	2587	14275	4517	10707
14275	5530	117	3394	8314
8314	10910	14275	9558	2159
9558	13770	8314	156	3550
2062	7823	2815	14556	13911
13911	10776	11586	12900	2062
9315	9408	11245	11186	13261
13261	10776	9315	4509	8934
8729	13609	7667	8940	2900
8940	8729	7108	8069	13038
11559	7133	14988	3236	7589
7589	11216	9818	9811	11559
14216	6008	1304	14579	1437
14579	14216	13947	9348	13189
6178	257	14330	2227	10853
14330	6178	9091	10149	12087
10102	2216	14105	11080	3271
14105	5360	8538	7576	10102
230	240	10816	8256	7575
7575	7113	4421	230	5406
13574	11081	8423	13135	215
11081	10998	12006	13574	10879
13940	12513	13523	7113	4727
4727	8224	8001	12713	13940
10508	1142	10508	9110	nan
13036	13472	11122	14440	8374
13472	10681	13036	4453	13622
13299	6496	13756	4466	7636
4466	3512	13299	9573	1958
9110	9032	12825	10508	14348
15984	6993	2034	4955	3271
3271	15984	4665	10102	2519
2297	9270	10186	12310	7455
7455	15120	2297	12704	15887
9554	6966	441	7236	8462
7236	3016	9554	3147	10298
867	1062	3610	13446	8287
3610	7008	867	8860	4771
9044	7797	15307	11829	1590
11829	8994	9044	7437	nan
8500	8500	9398	12927	nan
11831	896	5394	13347	13349
13347	11658	15300	14718	11831
10803	13043	2117	2630	15735
