xlinkID	neighborID	distance
1	1	0.000000
1	15235	18.138357
1	6513	16.583124
2	8400	35.735137
2	14625	32.710854
2	6453	23.216374
2	14614	10.723805
3	3072	28.705400
3	5043	10.770330
3	2006	33.541020
3	8318	9.899495
4	608	14.317821
4	12987	20.784610
4	4302	15.394804
4	5895	28.390139
5	74	21.424285
5	621	23.430749
5	6182	22.045408
5	3959	27.276363
6	8384	25.865034
6	14834	26.076810
6	1372	18.867962
7	6608	16.124515
7	5883	8.306624
7	10756	13.190906
7	8373	18.814888
8	13593	11.000000
8	13515	16.763055
8	10486	5.477226
9	6992	20.024984
9	1929	24.939928
9	14397	20.856654
9	15383	4.690416
10	14859	15.165751
10	6373	29.495762
10	9710	11.789826
10	11063	18.193405
11	8194	17.262677
11	9307	15.066519
11	8510	23.021729
11	1239	18.193405
12	13491	29.017236
12	4541	13.190906
12	3822	21.354157
12	4517	25.573424
13	12500	28.600699
13	12413	14.798649
13	12758	16.763055
13	15463	22.405357
14	3354	17.916473
14	3707	13.892444
14	15524	10.049876
14	13005	15.264338
15	11493	8.306624
15	5687	12.124356
15	11030	21.470911
15	6351	7.071068
16	10577	19.442222
16	2290	24.351591
16	7625	19.949937
16	3365	8.660254
17	2640	8.831761
17	2939	13.379088
17	1236	9.486833
17	12054	16.763055
18	12449	16.522712
18	15076	22.494444
18	15468	10.392305
18	14637	24.779023
19	9306	20.712315
19	8604	9.273618
19	7010	12.247449
20	6817	31.176915
20	6062	23.086793
20	13805	16.763055
20	13366	17.464249
21	10795	21.189620
21	13923	19.104973
21	1311	21.424285
22	5984	23.622024
22	12954	21.400935
22	7996	26.324893
22	10236	14.035669
23	9903	24.939928
23	7268	16.093477
23	1053	14.696938
23	711	19.467922
24	11418	20.639767
24	12764	20.223748
24	4781	31.256999
24	6414	14.352700
25	25	0.000000
25	149	22.135944
25	4950	16.613248
26	7121	24.515301
26	8147	26.476405
26	12109	17.029386
26	15533	9.055385
27	7649	21.470911
27	4972	13.038405
27	9157	18.411953
27	14023	29.799329
28	12125	14.317821
28	1284	11.180340
28	214	28.809721
28	5158	27.658633
29	4820	18.814888
29	476	20.615528
29	29	0.000000
30	14265	28.319605
30	2522	19.104973
30	15603	21.283797
30	13523	15.524175
31	15592	24.103942
31	12515	16.492423
31	8476	21.563859
31	4542	4.582576
32	5282	19.078784
32	3435	8.831761
32	11413	8.306624
32	11118	21.000000
33	3395	18.547237
33	5275	23.622024
33	6876	8.000000
33	8397	12.529964
34	7817	18.466185
34	6442	21.424285
34	11803	15.842980
34	7075	20.712315
35	14083	23.280893
35	10547	18.248288
35	15524	29.086079
35	9616	17.029386
36	3184	18.547237
36	12697	9.110434
37	15928	16.522712
37	3809	27.820855
37	8066	17.378147
37	11392	36.262929
38	6324	27.202941
38	12194	7.141428
38	7244	18.357560
38	14186	26.324893
39	7587	6.708204
39	3429	15.297059
39	39	0.000000
40	180	21.213203
40	9756	15.362291
40	4894	7.549834
41	9628	20.024984
41	14772	17.435596
41	7740	11.180340
41	118	31.144823
42	9981	16.492423
42	4114	22.649503
42	2949	19.723083
42	8031	20.615528
43	15201	12.369317
43	8051	11.489125
43	254	23.366643
43	13591	18.681542
44	7706	9.219544
44	1531	8.774964
44	15326	18.493242
44	8082	21.354157
45	15537	24.939928
45	10716	9.000000
45	12318	23.769729
46	10400	21.307276
46	15401	23.558438
46	7115	14.594520
46	14620	8.774964
47	2814	14.317821
47	4686	16.763055
47	5601	17.146428
47	13094	25.337719
48	48	0.000000
48	7083	20.518285
48	14141	26.944387
49	7809	18.601075
49	13658	11.445523
49	5411	16.062378
49	11172	21.118712
50	4544	14.966630
50	15049	15.000000
50	15173	8.306624
50	14149	26.191602
51	6641	26.115130
51	779	24.289916
51	15124	20.223748
51	4909	9.695360
52	11051	17.291616
52	2977	18.384776
52	10603	23.853721
52	13703	12.206556
53	12538	4.242641
53	5156	26.645825
53	11710	16.093477
53	1775	18.841444
54	786	9.219544
54	5315	15.132746
54	3029	22.561028
54	4319	23.537205
55	11809	12.247449
55	15244	6.480741
55	9221	14.035669
55	11270	10.677078
56	9016	21.633308
56	250	17.832555
56	14462	25.884358
56	262	18.708287
57	3568	27.586228
57	2170	15.842980
57	1172	18.248288
57	1558	19.339080
58	15232	11.180340
58	7364	8.774964
