xlinkID	xlink_1	xlink_2	xlink_3	xlink_4
8841	1105	1866	1639	6840
1105	8841	3449	15883	3896
9990	11886	8873	5739	7618
11886	9990	10673	15128	15813
8360	10611	15894	92	5892
10611	8360	15230	13641	8514
13976	2893	13976	13976	15578
2893	13976	15613	10932	6454
10671	11581	771	8789	7753
11581	10671	11581	11581	869
1223	15483	9598	13777	6350
15483	1223	9254	13777	4836
1866	1613	8841	8536	5358
1613	1866	2518	6047	14411
3041	14584	6405	14628	1878
14584	3041	11518	7840	10778
2524	13504	11601	1671	10579
13504	2524	5355	7864	5474
4771	6456	3805	3610	4765
6456	4771	12429	6053	12429
1044	15145	15472	12815	6207
15145	1044	8892	1930	2288
11181	14061	9032	10816	2519
14061	11181	2447	5908	11113
3345	14411	12086	11768	11979
14411	3345	11768	2369	1613
441	10764	4786	8178	9554
10764	441	3465	2641	4170
1568	9362	12165	1702	15434
9362	1568	3007	10437	12909
5642	5713	3427	13446	12634
5713	5642	1328	184	7520
6686	5613	1266	1328	6703
5613	6686	11745	4908	11745
12028	1257	14288	8226	1352
1257	12028	1181	13455	12421
7843	13271	7800	3427	11260
13271	7843	203	15615	14914
12861	8949	4739	10445	5653
8949	12861	4135	12244	0
14807	4355	12770	10525	10525
4355	14807	7922	12719	9987
2331	2207	1948	248	10509
2207	2331	16022	3632	1789
3923	4956	9207	12294	13212
4956	3923	15689	6214	15252
8938	14269	7033	10167	7033
14269	8938	13719	9785	0
5140	633	11867	7682	7820
633	5140	4827	1770	11020
6906	2615	8877	7918	4173
2615	6906	14255	9987	1181
15337	3318	12421	11433	12137
3318	15337	4750	665	10318
1666	9448	5786	4251	10717
9448	1666	2929	3704	9174
10876	10300	10300	8832	3822
10300	10876	10876	4596	3181
9226	7003	14694	12726	14134
7003	9226	3763	7936	10598
759	14563	11219	449	182
14563	759	11381	12418	2469
5530	14275	2587	10707	4517
14275	5530	3394	117	8314
9558	8314	13770	156	3550
8314	9558	10910	14275	2159
2062	13911	2815	14556	7823
13911	2062	12900	10776	11586
13261	9315	4509	8934	10776
9315	13261	11186	11245	9408
8940	8729	7108	8069	13038
8729	8940	13609	7667	2900
7589	11559	9818	11216	9811
11559	7589	7133	3236	14988
14216	14579	1437	6008	1304
14579	14216	13189	9348	13947
14330	6178	10149	9091	12087
6178	14330	2227	257	10853
10102	14105	2216	3271	11080
14105	10102	8538	5360	7576
7575	230	7113	5406	4421
230	7575	240	8256	10816
13574	11081	215	8423	13135
11081	13574	10879	12006	10998
13940	4727	13523	12513	7113
