ID X Y Z
1 0.000001 99.999999 100.000000
2 0.000000 11.111111 0.000001
3 0.000001 22.222222 100.000000
4 100.000000 33.333333 0.000001
5 0.000001 44.444445 100.000000
6 0.000001 55.555555 100.000000
7 100.000000 66.666666 100.000000
8 100.000000 77.777778 100.000000
9 0.000000 88.888889 100.000000
10 100.000000 0.000000 0.000000
11 11.111111 0.000000 100.000000
12 11.111111 11.111111 11.111111
13 11.111111 22.222223 11.111111
14 11.111112 33.333333 11.111111
15 11.111111 44.444444 11.111111
16 11.111111 55.555556 11.111111
17 11.111111 66.666666 11.111111
18 11.111111 77.777778 11.111111
19 11.111111 88.888889 11.111111
20 11.111111 100.000000 11.111111
21 22.222222 0.000000 11.111111
22 22.222222 11.111111 11.111111
23 22.222222 22.222222 22.222223
24 22.222222 33.333334 22.222222
25 22.222222 44.444444 22.222222
26 22.222222 55.555555 22.222222
27 22.222223 66.666667 22.222222
28 22.222222 77.777778 22.222223
29 22.222222 88.888889 22.222222
30 22.222222 100.000000 22.222222
31 33.333333 0.000000 22.222222
32 33.333334 11.111111 22.222222
33 33.333333 22.222222 22.222222
34 33.333334 33.333333 33.333334
35 33.333334 44.444445 33.333334
36 33.333334 55.555556 33.333333
37 33.333334 66.666666 33.333333
38 33.333333 77.777778 33.333334
39 33.333334 88.888889 33.333334
40 33.333333 100.000000 33.333334
41 44.444445 0.000000 33.333333
42 44.444444 11.111111 33.333333
43 44.444444 22.222222 33.333333
44 44.444444 33.333334 33.333333
45 44.444445 44.444445 44.444444
46 44.444445 55.555556 44.444444
47 44.444444 66.666666 44.444445
48 44.444445 77.777777 44.444444
49 44.444445 88.888889 44.444444
50 44.444444 0.000000 44.444445
51 55.555556 0.000001 44.444444
52 55.555556 11.111111 44.444445
53 55.555555 22.222222 44.444444
54 55.555556 33.333334 44.444444
55 55.555556 44.444444 44.444445
56 55.555556 55.555556 55.555556
57 55.555556 66.666666 55.555556
58 55.555556 77.777778 55.555555
59 55.555556 88.888888 55.555556
60 55.555556 0.000001 55.555556
61 66.666667 100.000000 55.555555
62 66.666667 11.111111 55.555556
63 66.666667 22.222223 55.555555
64 66.666666 33.333333 55.555556
65 66.666667 44.444444 55.555556
66 66.666666 55.555556 55.555556
67 66.666666 66.666666 66.666667
68 66.666667 77.777777 66.666667
69 66.666667 88.888888 66.666667
70 66.666666 0.000000 66.666667
71 77.777778 0.000000 66.666666
72 77.777778 11.111111 66.666667
73 77.777778 22.222222 66.666666
74 77.777778 33.333333 66.666666
75 77.777777 44.444444 66.666666
76 77.777778 55.555556 66.666666
77 77.777778 66.666667 66.666667
78 77.777778 77.777777 77.777778
79 77.777778 88.888889 77.777778
80 77.777777 100.000000 77.777778
81 88.888889 0.000000 77.777777
82 88.888889 11.111112 77.777777
83 88.888889 22.222222 77.777778
84 88.888889 33.333333 77.777777
85 88.888889 44.444445 77.777778
86 88.888889 55.555555 77.777778
87 88.888888 66.666667 77.777778
88 88.888889 77.777777 77.777778
89 88.888888 88.888889 88.888889
90 88.888889 100.000000 88.888889
91 100.000000 0.000000 88.888889
92 100.000000 11.111111 88.888889
93 0.000000 22.222222 88.888889
94 0.000001 33.333333 88.888889
95 100.000000 44.444444 88.888889
96 0.000000 55.555556 88.888889
97 99.999999 66.666667 88.888889
98 0.000000 77.777777 88.888889
99 100.000000 88.888889 88.888889
100 100.000000 0.000000 0.000000
