ID X Y Z
1 4.668679 4.874204 99.453543
2 4.709812 4.417797 10.767904
3 5.151704 5.424994 21.695268
4 4.641615 5.159909 33.086947
5 4.728145 5.092040 44.801108
6 4.954256 4.307161 55.920105
7 4.352144 4.941513 67.264865
8 5.241974 4.669296 77.366682
9 5.605515 4.702231 88.875330
10 5.629791 4.968888 99.758566
11 4.668678 14.874204 99.453543
12 4.709812 14.417796 10.767904
13 5.151704 15.424993 21.695268
14 4.641615 15.159908 33.086947
15 4.728145 15.092039 44.801108
16 4.954256 14.307160 55.920105
17 4.352144 14.941512 67.264865
18 5.241974 14.669295 77.366682
19 5.605515 14.702230 88.875330
20 5.629792 14.968886 99.758566
21 4.668678 24.874203 99.453542
22 4.709812 24.417795 10.767904
23 5.151704 25.424993 21.695268
24 4.641615 25.159908 33.086948
25 4.728145 25.092038 44.801107
26 4.954256 24.307159 55.920105
27 4.352144 24.941512 67.264865
28 5.241974 24.669294 77.366682
29 5.605515 24.702230 88.875331
30 5.629792 24.968886 99.758566
31 4.668678 34.874203 99.453542
32 4.709812 34.417796 10.767904
33 5.151705 35.424993 21.695269
34 4.641615 35.159907 33.086948
35 4.728145 35.092038 44.801107
36 4.954257 34.307160 55.920104
37 4.352144 34.941512 67.264865
38 5.241974 34.669295 77.366682
39 5.605515 34.702230 88.875331
40 5.629792 34.968886 99.758566
41 4.668678 44.874204 99.453543
42 4.709812 44.417797 10.767904
43 5.151705 45.424994 21.695269
44 4.641615 45.159908 33.086948
45 4.728145 45.092039 44.801107
46 4.954257 44.307160 55.920104
47 4.352144 44.941513 67.264865
48 5.241974 44.669296 77.366682
49 5.605515 44.702231 88.875332
50 5.629792 44.968888 99.758566
51 4.668678 54.874205 99.453543
52 4.709812 54.417798 10.767904
53 5.151705 55.424995 21.695269
54 4.641615 55.159909 33.086948
55 4.728145 55.092041 44.801107
56 4.954257 54.307162 55.920104
57 4.352144 54.941514 67.264865
58 5.241974 54.669297 77.366683
59 5.605515 54.702232 88.875332
60 5.629792 54.968889 99.758566
61 4.668678 64.874206 99.453543
62 4.709812 64.417799 10.767904
63 5.151705 65.424996 21.695269
64 4.641615 65.159911 33.086948
65 4.728146 65.092042 44.801107
66 4.954257 64.307163 55.920105
67 4.352144 64.941514 67.264865
68 5.241974 64.669297 77.366683
69 5.605514 64.702233 88.875331
70 5.629791 64.968890 99.758566
71 4.668678 74.874206 99.453543
72 4.709812 74.417799 10.767904
73 5.151705 75.424996 21.695268
74 4.641614 75.159911 33.086948
75 4.728146 75.092042 44.801107
76 4.954257 74.307163 55.920105
77 4.352144 74.941515 67.264865
78 5.241974 74.669298 77.366683
79 5.605515 74.702234 88.875331
80 5.629791 74.968890 99.758566
81 4.668678 84.874206 99.453543
82 4.709812 84.417799 10.767904
83 5.151705 85.424996 21.695268
84 4.641614 85.159911 33.086948
85 4.728146 85.092042 44.801107
86 4.954257 84.307163 55.920105
87 4.352144 84.941514 67.264865
88 5.241974 84.669297 77.366683
89 5.605514 84.702233 88.875331
90 5.629791 84.968890 99.758566
91 4.668679 94.874205 99.453543
92 4.709812 94.417798 10.767904
93 5.151704 95.424995 21.695268
94 4.641615 95.159910 33.086947
95 4.728146 95.092041 44.801107
96 4.954256 94.307162 55.920105
97 4.352144 94.941513 67.264865
98 5.241974 94.669296 77.366683
99 5.605515 94.702233 88.875330
100 5.629791 94.968889 99.758566
101 14.668678 4.874205 99.453543
102 14.709811 4.417797 10.767905
103 15.151704 5.424994 21.695268
104 14.641614 5.159909 33.086947
105 14.728145 5.092040 44.801108
106 14.954255 4.307161 55.920105
107 14.352143 4.941513 67.264865
108 15.241973 4.669296 77.366682
109 15.605514 4.702232 88.875330
110 15.629791 4.968888 99.758566
111 14.668678 14.874204 99.453542
112 14.709812 14.417796 10.767905
113 15.151704 15.424993 21.695268
114 14.641614 15.159908 33.086947
115 14.728144 15.092039 44.801108
116 14.954255 14.307160 55.920105
117 14.352143 14.941512 67.264865
118 15.241973 14.669295 77.366682
119 15.605514 14.702231 88.875330
120 15.629791 14.968887 99.758566
121 14.668677 24.874203 99.453542
122 14.709811 24.417795 10.767905
123 15.151704 25.424992 21.695268
124 14.641615 25.159907 33.086948
125 14.728144 25.092039 44.801107
126 14.954256 24.307160 55.920104
127 14.352143 24.941512 67.264865
128 15.241973 24.669294 77.366682
129 15.605514 24.702230 88.875331
130 15.629791 24.968886 99.758566
131 14.668677 34.874204 99.453542
132 14.709811 34.417795 10.767904
133 15.151704 35.424993 21.695269
134 14.641615 35.159908 33.086948
135 14.728144 35.092039 44.801107
136 14.954256 34.307160 55.920104
137 14.352143 34.941512 67.264865
138 15.241973 34.669295 77.366682
139 15.605514 34.702230 88.875331
140 15.629791 34.968887 99.758566
141 14.668677 44.874204 99.453543
142 14.709811 44.417797 10.767904
143 15.151704 45.424994 21.695269
144 14.641615 45.159908 33.086948
145 14.728144 45.092040 44.801107
146 14.954256 44.307161 55.920104
147 14.352143 44.941513 67.264865
148 15.241973 44.669296 77.366682
149 15.605514 44.702231 88.875331
150 15.629791 44.968888 99.758566
151 14.668677 54.874205 99.453543
152 14.709811 54.417798 10.767904
153 15.151704 55.424995 21.695269
154 14.641614 55.159910 33.086948
155 14.728145 55.092041 44.801107
156 14.954257 54.307162 55.920104
157 14.352143 54.941514 67.264865
158 15.241973 54.669297 77.366682
159 15.605514 54.702232 88.875331
160 15.629791 54.968889 99.758566
161 14.668677 64.874206 99.453543
162 14.709811 64.417799 10.767904
163 15.151704 65.424996 21.695268
164 14.641614 65.159911 33.086948
165 14.728145 65.092042 44.801107
166 14.954257 64.307163 55.920104
167 14.352143 64.941514 67.264865
168 15.241973 64.669297 77.366683
169 15.605514 64.702233 88.875331
170 15.629791 64.968890 99.758566
171 14.668678 74.874207 99.453543
172 14.709811 74.417800 10.767905
173 15.151704 75.424996 21.695268
174 14.641614 75.159911 33.086948
175 14.728145 75.092042 44.801107
176 14.954256 74.307163 55.920105
177 14.352143 74.941515 67.264865
178 15.241973 74.669298 77.366683
179 15.605514 74.702234 88.875331
180 15.629791 74.968890 99.758566
181 14.668678 84.874206 99.453543
182 14.709811 84.417799 10.767905
183 15.151704 85.424996 21.695268
184 14.641614 85.159911 33.086948
185 14.728145 85.092042 44.801107
186 14.954256 84.307163 55.920105
187 14.352143 84.941514 67.264865
