X Y Z
42.962139 241.812599 3.362227
1.323446 222.791471 12.285826
197.801102 16.603019 74.284485
198.536222 241.755147 87.516455
227.383710 16.981664 32.807863
7.139520 252.035665 24.394615
8.890437 251.435235 9.301716
39.355727 10.879441 15.727341
32.643439 44.477911 220.967498
22.976302 50.828273 230.675539
16.844623 221.845210 251.510987
32.654356 230.036362 219.281585
23.138935 254.328385 7.324273
46.244735 12.054284 4.300463
26.949485 2.380703 225.537243
29.268734 16.038797 246.619882
79.683035 18.906247 1.060517
75.716282 2.252216 0.551842
111.166880 230.698602 39.664136
100.172312 236.332695 27.929310
92.203624 6.904335 234.723688
63.226718 2.990735 2.585699
67.957070 16.490294 224.355829
74.820959 253.726273 230.651612
42.108525 242.292075 13.921258
68.340785 247.830190 240.940816
110.808464 56.395760 11.165835
125.333035 34.801476 255.960635
145.622323 228.516334 26.027152
154.638312 239.381501 38.120470
145.127582 1.728112 8.381933
128.105284 7.688479 28.010626
155.672648 253.305578 24.981374
156.296946 50.470051 19.153222
166.918619 70.897351 250.629003
170.172347 43.591313 231.911890
152.326196 244.662694 31.845116
149.315980 2.845980 28.687201
169.369300 4.919934 250.136568
137.112178 1.042057 229.132671
192.085985 15.831916 247.403754
187.352132 29.181781 248.667973
181.785419 15.246219 229.736362
176.661814 19.957110 240.960403
168.160928 23.626040 135.989587
199.472582 16.404782 126.180822
219.789185 220.629705 254.572238
205.582412 242.598711 246.655803
219.965743 235.043104 247.336046
227.918027 204.594644 243.170789
158.251743 43.319126 11.603920
157.642058 41.355092 26.424426
170.337098 51.343341 254.393842
179.738077 40.422734 218.758414
200.171338 10.951008 37.595135
220.668623 2.595232 48.785852
242.215981 30.339527 25.106436
238.385303 45.866610 30.287383
236.436777 228.998448 176.906735
244.610996 233.446665 204.530871
227.220860 25.057517 245.588476
228.412947 40.255686 255.882984
239.962903 0.281321 40.232424
229.474920 237.488527 33.322908
239.663306 230.985572 15.324081
241.231815 227.591403 254.885644
7.814909 7.230848 227.416581
250.935414 19.404428 221.236455
19.597865 42.289135 203.316118
244.350445 45.649509 214.469431
2.790360 13.416142 56.466646
24.760537 23.714233 66.557159
16.639250 26.643848 48.282635
33.747267 44.861481 44.715937
61.282804 210.243216 16.559265
66.319170 234.570274 20.131120
50.005602 46.536666 234.510633
46.151452 35.155064 244.324119
68.719176 23.846477 245.883230
51.624257 18.765623 7.013433
55.799520 16.011167 252.073305
43.922857 14.258915 6.435886
52.362314 53.265467 20.385925
45.414480 35.325111 2.702611
71.120379 31.667911 248.139172
105.717761 17.596645 232.388219
95.360014 16.746646 219.065678
35.926414 20.808134 223.798137
22.974952 5.749558 225.026182
130.342780 91.367067 235.272479
119.223270 76.303813 225.108920
61.855440 21.162922 213.635165
96.539326 8.416473 5.891268
75.173078 254.612978 7.941709
139.497872 246.560710 223.014717
143.752301 217.995198 219.149184
126.716953 31.273355 14.757195
137.909738 41.348787 222.329798
132.312048 246.262693 8.758439
104.448502 249.226839 21.549418
145.123114 24.076832 211.486180
126.279989 40.791868 186.147109
175.469619 35.067935 35.878461
205.001995 30.084150 251.657377
212.649698 7.931854 248.908796
216.904361 55.137420 232.866139
192.826965 79.807880 249.564916
6.337468 23.322565 233.898901
246.875695 36.514360 224.874456
232.815295 34.934741 39.323865
215.879367 25.709865 37.293443
219.903140 238.782434 35.996403
205.494047 14.231589 15.382018
225.628318 49.194689 215.881064
206.592377 44.331840 0.981807
218.139116 23.823229 252.386914
243.624301 10.995914 233.408041
21.258216 51.957350 50.133031
24.966370 58.424142 44.068737
206.311437 252.368664 10.500514
206.707059 255.523272 0.980438
232.713049 6.632557 4.978502
30.454834 29.223804 26.610629
12.946933 248.623920 45.284072
0.002500 11.515993 32.440819
241.028872 3.640387 52.163073
4.309717 2.667333 249.166504
253.400897 7.491534 227.877249
34.058085 26.240118 4.383662
12.284582 25.516338 28.266099
11.016555 3.351312 220.117268
36.497276 13.086089 6.913690
43.114536 20.368865 254.835952
10.193185 41.738218 234.567451
67.392542 114.127899 2.226882
70.230710 138.710536 238.751616
48.674049 3.395814 5.765935
52.969456 9.349773 35.163024
40.366309 87.124056 231.279584
43.343346 48.002814 246.123944
154.339661 29.941793 241.827739
128.019649 254.324833 0.729417
97.126633 62.528583 12.148518
119.472296 37.601465 240.048022
144.765993 64.921521 248.287220
129.303399 40.965034 240.680202
117.837990 10.834374 2.487590
147.036358 28.180374 215.319730
130.231178 41.186827 249.215714
112.255872 12.089942 216.377252
99.838333 38.391711 228.584194
162.352785 86.723235 232.553380
143.335142 108.321390 250.015813
139.255049 86.343352 230.337007
116.324519 70.838241 234.290544
205.556055 61.082858 215.888392
179.775222 36.940591 227.670545
193.601286 57.291478 232.770227
187.287613 46.780391 236.868373
156.998387 15.010119 20.934239
147.005305 13.922914 14.413476
153.569613 17.698476 245.780920
179.301215 21.829774 40.440146
186.586078 24.083229 240.874314
186.827086 34.050341 24.324991
225.130621 77.166298 3.079704
212.787811 65.044002 242.630339
186.964406 31.716792 40.057051
212.228423 37.908677 22.995976
170.074479 15.596996 34.965692
186.039962 25.953007 54.118996
209.085769 53.684833 10.499745
209.989377 29.146088 2.698477
197.456842 61.849025 245.435511
188.889247 74.947064 251.323360
217.070097 55.979329 241.826486
11.697835 31.622132 246.644534
20.599960 57.759781 243.150606
224.551511 48.518499 251.002816
208.602233 77.356351 22.568485
215.617486 3.414244 16.665526
205.509710 26.729359 10.596808
192.535658 82.644746 247.322154
186.299752 67.607661 10.972584
246.444444 67.443694 232.256917
13.122321 81.560447 248.042928
68.253376 32.897656 251.141339
40.642594 39.776978 235.513389
36.099473 79.763270 27.996005
44.258049 51.095739 1.389168
62.371982 54.703868 47.602673
80.090654 51.888924 48.247970
10.408330 42.271843 244.846297
244.403017 37.537911 232.451854
42.490192 31.483309 220.980143
47.137895 68.606123 220.816557
79.321805 67.295862 62.640291
113.830713 59.296296 60.407114
25.612859 33.654966 5.589762
28.995987 70.238845 255.522024
94.111408 37.192291 244.936892
60.780537 37.913008 230.816537
129.877910 45.532437 237.235962
108.782303 2.235747 230.265849
104.784946 54.630712 43.190626
107.770397 48.834891 60.188020
92.924760 37.981658 249.792713
94.362291 70.733093 250.987086
101.995395 100.988410 12.245180
91.339077 76.951413 10.165463
145.641571 53.339904 33.186220
148.043577 42.816745 12.858532
120.280373 37.470448 34.582913
